,name,moves,encounterOrEvolutionTrigger
10,poliwag,"[{'name': 'bubble', 'levelLearnedAt': 1}, {'name': 'hypnosis', 'levelLearnedAt': 16}, {'name': 'water-gun', 'levelLearnedAt': 19}, {'name': 'double-slap', 'levelLearnedAt': 25}, {'name': 'body-slam', 'levelLearnedAt': 31}, {'name': 'amnesia', 'levelLearnedAt': 38}, {'name': 'hydro-pump', 'levelLearnedAt': 45}]",Fishing
11,goldeen,"[{'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'peck', 'levelLearnedAt': 1}, {'name': 'supersonic', 'levelLearnedAt': 19}, {'name': 'horn-attack', 'levelLearnedAt': 24}, {'name': 'fury-attack', 'levelLearnedAt': 30}, {'name': 'waterfall', 'levelLearnedAt': 37}, {'name': 'horn-drill', 'levelLearnedAt': 45}, {'name': 'agility', 'levelLearnedAt': 54}]",Fishing
12,magikarp,"[{'name': 'splash', 'levelLearnedAt': 1}, {'name': 'tackle', 'levelLearnedAt': 15}]",Fishing
13,bulbasaur,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'leech-seed', 'levelLearnedAt': 7}, {'name': 'vine-whip', 'levelLearnedAt': 13}, {'name': 'poison-powder', 'levelLearnedAt': 20}, {'name': 'razor-leaf', 'levelLearnedAt': 27}, {'name': 'growth', 'levelLearnedAt': 34}, {'name': 'sleep-powder', 'levelLearnedAt': 41}, {'name': 'solar-beam', 'levelLearnedAt': 48}]",starter
14,charmander,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'ember', 'levelLearnedAt': 9}, {'name': 'leer', 'levelLearnedAt': 15}, {'name': 'rage', 'levelLearnedAt': 22}, {'name': 'slash', 'levelLearnedAt': 30}, {'name': 'flamethrower', 'levelLearnedAt': 38}, {'name': 'fire-spin', 'levelLearnedAt': 46}]",starter
15,squirtle,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'bubble', 'levelLearnedAt': 8}, {'name': 'water-gun', 'levelLearnedAt': 15}, {'name': 'bite', 'levelLearnedAt': 22}, {'name': 'withdraw', 'levelLearnedAt': 28}, {'name': 'skull-bash', 'levelLearnedAt': 35}, {'name': 'hydro-pump', 'levelLearnedAt': 42}]",starter
16,pidgeotto,"[{'name': 'gust', 'levelLearnedAt': 1}, {'name': 'sand-attack', 'levelLearnedAt': 5}, {'name': 'quick-attack', 'levelLearnedAt': 12}, {'name': 'whirlwind', 'levelLearnedAt': 21}, {'name': 'wing-attack', 'levelLearnedAt': 31}, {'name': 'agility', 'levelLearnedAt': 40}, {'name': 'mirror-move', 'levelLearnedAt': 49}]",18
17,pidgeot,"[{'name': 'gust', 'levelLearnedAt': 1}, {'name': 'sand-attack', 'levelLearnedAt': 5}, {'name': 'quick-attack', 'levelLearnedAt': 12}, {'name': 'whirlwind', 'levelLearnedAt': 21}, {'name': 'wing-attack', 'levelLearnedAt': 31}, {'name': 'agility', 'levelLearnedAt': 44}, {'name': 'mirror-move', 'levelLearnedAt': 54}]",36
18,raticate,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'quick-attack', 'levelLearnedAt': 7}, {'name': 'hyper-fang', 'levelLearnedAt': 14}, {'name': 'focus-energy', 'levelLearnedAt': 27}, {'name': 'super-fang', 'levelLearnedAt': 41}]",20
19,beedrill,"[{'name': 'fury-attack', 'levelLearnedAt': 12}, {'name': 'focus-energy', 'levelLearnedAt': 16}, {'name': 'twineedle', 'levelLearnedAt': 20}, {'name': 'rage', 'levelLearnedAt': 25}, {'name': 'pin-missile', 'levelLearnedAt': 30}, {'name': 'agility', 'levelLearnedAt': 35}]",10
20,butterfree,"[{'name': 'confusion', 'levelLearnedAt': 12}, {'name': 'poison-powder', 'levelLearnedAt': 15}, {'name': 'stun-spore', 'levelLearnedAt': 16}, {'name': 'sleep-powder', 'levelLearnedAt': 17}, {'name': 'supersonic', 'levelLearnedAt': 21}, {'name': 'whirlwind', 'levelLearnedAt': 26}, {'name': 'psybeam', 'levelLearnedAt': 32}]",10
21,raichu,"[{'name': 'growl', 'levelLearnedAt': 1}, {'name': 'thunder-shock', 'levelLearnedAt': 1}, {'name': 'thunder-wave', 'levelLearnedAt': 1}]",thunder-stone
22,fearow,"[{'name': 'growl', 'levelLearnedAt': 1}, {'name': 'peck', 'levelLearnedAt': 1}, {'name': 'leer', 'levelLearnedAt': 9}, {'name': 'fury-attack', 'levelLearnedAt': 15}, {'name': 'mirror-move', 'levelLearnedAt': 25}, {'name': 'drill-peck', 'levelLearnedAt': 34}, {'name': 'agility', 'levelLearnedAt': 43}]",20
23,nidorina,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'scratch', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'tail-whip', 'levelLearnedAt': 23}, {'name': 'bite', 'levelLearnedAt': 32}, {'name': 'fury-swipes', 'levelLearnedAt': 41}, {'name': 'double-kick', 'levelLearnedAt': 50}]",16
24,nidoqueen,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'scratch', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'body-slam', 'levelLearnedAt': 23}]",moon-stone
25,nidorino,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'leer', 'levelLearnedAt': 1}, {'name': 'horn-attack', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'focus-energy', 'levelLearnedAt': 23}, {'name': 'fury-attack', 'levelLearnedAt': 32}, {'name': 'horn-drill', 'levelLearnedAt': 41}, {'name': 'double-kick', 'levelLearnedAt': 50}]",16
26,nidoking,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'horn-attack', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'thrash', 'levelLearnedAt': 23}]",moon-stone
27,poliwhirl,"[{'name': 'bubble', 'levelLearnedAt': 1}, {'name': 'hypnosis', 'levelLearnedAt': 16}, {'name': 'water-gun', 'levelLearnedAt': 19}, {'name': 'double-slap', 'levelLearnedAt': 26}, {'name': 'body-slam', 'levelLearnedAt': 33}, {'name': 'amnesia', 'levelLearnedAt': 41}, {'name': 'hydro-pump', 'levelLearnedAt': 49}]",25
28,poliwrath,"[{'name': 'double-slap', 'levelLearnedAt': 1}, {'name': 'body-slam', 'levelLearnedAt': 1}, {'name': 'hypnosis', 'levelLearnedAt': 16}, {'name': 'water-gun', 'levelLearnedAt': 19}]",water-stone
29,politoed,[],trade
30,seaking,"[{'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'peck', 'levelLearnedAt': 1}, {'name': 'supersonic', 'levelLearnedAt': 19}, {'name': 'horn-attack', 'levelLearnedAt': 24}, {'name': 'fury-attack', 'levelLearnedAt': 30}, {'name': 'waterfall', 'levelLearnedAt': 39}, {'name': 'horn-drill', 'levelLearnedAt': 48}, {'name': 'agility', 'levelLearnedAt': 54}]",33
31,gyarados,"[{'name': 'bite', 'levelLearnedAt': 20}, {'name': 'dragon-rage', 'levelLearnedAt': 25}, {'name': 'leer', 'levelLearnedAt': 32}, {'name': 'hydro-pump', 'levelLearnedAt': 41}, {'name': 'hyper-beam', 'levelLearnedAt': 52}]",20
32,ivysaur,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'leech-seed', 'levelLearnedAt': 7}, {'name': 'vine-whip', 'levelLearnedAt': 13}, {'name': 'poison-powder', 'levelLearnedAt': 22}, {'name': 'razor-leaf', 'levelLearnedAt': 30}, {'name': 'growth', 'levelLearnedAt': 38}, {'name': 'sleep-powder', 'levelLearnedAt': 46}, {'name': 'solar-beam', 'levelLearnedAt': 54}]",16
33,venusaur,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'leech-seed', 'levelLearnedAt': 7}, {'name': 'vine-whip', 'levelLearnedAt': 13}, {'name': 'poison-powder', 'levelLearnedAt': 22}, {'name': 'razor-leaf', 'levelLearnedAt': 30}, {'name': 'growth', 'levelLearnedAt': 43}, {'name': 'sleep-powder', 'levelLearnedAt': 55}, {'name': 'solar-beam', 'levelLearnedAt': 65}]",32
34,charmeleon,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'ember', 'levelLearnedAt': 9}, {'name': 'leer', 'levelLearnedAt': 15}, {'name': 'rage', 'levelLearnedAt': 24}, {'name': 'slash', 'levelLearnedAt': 33}, {'name': 'flamethrower', 'levelLearnedAt': 42}, {'name': 'fire-spin', 'levelLearnedAt': 56}]",16
35,charizard,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'ember', 'levelLearnedAt': 9}, {'name': 'leer', 'levelLearnedAt': 15}, {'name': 'rage', 'levelLearnedAt': 24}, {'name': 'slash', 'levelLearnedAt': 36}, {'name': 'flamethrower', 'levelLearnedAt': 46}, {'name': 'fire-spin', 'levelLearnedAt': 55}]",36
36,wartortle,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'bubble', 'levelLearnedAt': 8}, {'name': 'water-gun', 'levelLearnedAt': 15}, {'name': 'bite', 'levelLearnedAt': 24}, {'name': 'withdraw', 'levelLearnedAt': 31}, {'name': 'skull-bash', 'levelLearnedAt': 39}, {'name': 'hydro-pump', 'levelLearnedAt': 47}]",16
37,blastoise,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'bubble', 'levelLearnedAt': 8}, {'name': 'water-gun', 'levelLearnedAt': 15}, {'name': 'bite', 'levelLearnedAt': 24}, {'name': 'withdraw', 'levelLearnedAt': 31}, {'name': 'skull-bash', 'levelLearnedAt': 42}, {'name': 'hydro-pump', 'levelLearnedAt': 52}]",36
