Unnamed: 0,name,moves,encounterOrEvolutionTrigger,OriginIfEvolution,movesByVM,movesByTM
17,geodude,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'defense-curl', 'levelLearnedAt': 11}, {'name': 'rock-throw', 'levelLearnedAt': 16}, {'name': 'self-destruct', 'levelLearnedAt': 21}, {'name': 'harden', 'levelLearnedAt': 26}, {'name': 'earthquake', 'levelLearnedAt': 31}, {'name': 'explosion', 'levelLearnedAt': 36}]",walk,,[],"['mega-punch', 'bide', 'seismic-toss', 'dig', 'body-slam', 'rest', 'rock-slide', 'submission', 'counter', 'double-edge', 'substitute']"
18,sandshrew,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'sand-attack', 'levelLearnedAt': 10}, {'name': 'slash', 'levelLearnedAt': 17}, {'name': 'poison-sting', 'levelLearnedAt': 24}, {'name': 'swift', 'levelLearnedAt': 31}, {'name': 'fury-swipes', 'levelLearnedAt': 38}]",walk,,['cut'],"['bide', 'seismic-toss', 'dig', 'body-slam', 'rest', 'rock-slide', 'submission', 'counter', 'double-edge', 'substitute']"
19,psyduck,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 28}, {'name': 'disable', 'levelLearnedAt': 31}, {'name': 'confusion', 'levelLearnedAt': 36}, {'name': 'fury-swipes', 'levelLearnedAt': 43}, {'name': 'hydro-pump', 'levelLearnedAt': 52}]",walk,,['flash'],"['bubble-beam', 'water-gun', 'mega-punch', 'bide', 'seismic-toss', 'dig', 'body-slam', 'rest', 'ice-beam', 'mega-kick', 'submission', 'counter', 'double-edge', 'substitute']"
20,abra,"[{'name': 'teleport', 'levelLearnedAt': 1}]",walk,,['flash'],"['mega-punch', 'bide', 'thunder-wave', 'seismic-toss', 'body-slam', 'rest', 'teleport', 'tri-attack', 'mega-kick', 'submission', 'reflect', 'counter', 'double-edge', 'substitute']"
21,bellsprout,"[{'name': 'vine-whip', 'levelLearnedAt': 1}, {'name': 'growth', 'levelLearnedAt': 1}, {'name': 'wrap', 'levelLearnedAt': 13}, {'name': 'poison-powder', 'levelLearnedAt': 15}, {'name': 'sleep-powder', 'levelLearnedAt': 18}, {'name': 'stun-spore', 'levelLearnedAt': 21}, {'name': 'acid', 'levelLearnedAt': 26}, {'name': 'razor-leaf', 'levelLearnedAt': 33}, {'name': 'slam', 'levelLearnedAt': 42}]",walk,,"['cut', 'flash']","['bide', 'rest', 'reflect', 'double-edge', 'substitute']"
22,krabby,"[{'name': 'leer', 'levelLearnedAt': 1}, {'name': 'bubble', 'levelLearnedAt': 1}, {'name': 'vise-grip', 'levelLearnedAt': 20}, {'name': 'guillotine', 'levelLearnedAt': 25}, {'name': 'stomp', 'levelLearnedAt': 30}, {'name': 'crabhammer', 'levelLearnedAt': 35}, {'name': 'harden', 'levelLearnedAt': 40}]",fishing,,['cut'],"['bubble-beam', 'water-gun', 'bide', 'dig', 'body-slam', 'rest', 'ice-beam', 'rock-slide', 'double-edge', 'substitute']"
23,shellder,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'withdraw', 'levelLearnedAt': 1}, {'name': 'supersonic', 'levelLearnedAt': 18}, {'name': 'clamp', 'levelLearnedAt': 23}, {'name': 'aurora-beam', 'levelLearnedAt': 30}, {'name': 'leer', 'levelLearnedAt': 39}, {'name': 'ice-beam', 'levelLearnedAt': 50}]",walk,,[],"['bubble-beam', 'water-gun', 'bide', 'rest', 'teleport', 'ice-beam', 'tri-attack', 'reflect', 'double-edge', 'substitute']"
24,drowzee,"[{'name': 'pound', 'levelLearnedAt': 1}, {'name': 'hypnosis', 'levelLearnedAt': 1}, {'name': 'disable', 'levelLearnedAt': 12}, {'name': 'confusion', 'levelLearnedAt': 17}, {'name': 'headbutt', 'levelLearnedAt': 24}, {'name': 'poison-gas', 'levelLearnedAt': 29}, {'name': 'psychic', 'levelLearnedAt': 32}, {'name': 'meditate', 'levelLearnedAt': 37}]",walk,,['flash'],"['mega-punch', 'bide', 'thunder-wave', 'seismic-toss', 'body-slam', 'rest', 'teleport', 'tri-attack', 'mega-kick', 'submission', 'reflect', 'counter', 'double-edge', 'substitute']"
25,diglett,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 15}, {'name': 'dig', 'levelLearnedAt': 19}, {'name': 'sand-attack', 'levelLearnedAt': 24}, {'name': 'slash', 'levelLearnedAt': 31}, {'name': 'earthquake', 'levelLearnedAt': 40}]",walk,,['cut'],"['bide', 'dig', 'body-slam', 'rest', 'rock-slide', 'double-edge', 'substitute']"
26,dugtrio,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 15}, {'name': 'dig', 'levelLearnedAt': 19}, {'name': 'sand-attack', 'levelLearnedAt': 24}, {'name': 'slash', 'levelLearnedAt': 35}, {'name': 'earthquake', 'levelLearnedAt': 47}]",walk,,['cut'],"['bide', 'dig', 'body-slam', 'rest', 'rock-slide', 'tri-attack', 'double-edge', 'hyper-beam', 'substitute']"
27,meowth,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'bite', 'levelLearnedAt': 12}, {'name': 'pay-day', 'levelLearnedAt': 17}, {'name': 'screech', 'levelLearnedAt': 24}, {'name': 'fury-swipes', 'levelLearnedAt': 33}, {'name': 'slash', 'levelLearnedAt': 44}]",walk,,"['cut', 'flash']","['bubble-beam', 'water-gun', 'bide', 'thunder', 'dig', 'thunderbolt', 'body-slam', 'rest', 'double-edge', 'substitute']"
28,poliwhirl,"[{'name': 'bubble', 'levelLearnedAt': 1}, {'name': 'hypnosis', 'levelLearnedAt': 16}, {'name': 'water-gun', 'levelLearnedAt': 19}, {'name': 'double-slap', 'levelLearnedAt': 26}, {'name': 'body-slam', 'levelLearnedAt': 33}, {'name': 'amnesia', 'levelLearnedAt': 41}, {'name': 'hydro-pump', 'levelLearnedAt': 49}]",walk,,[],"['bubble-beam', 'water-gun', 'mega-punch', 'bide', 'seismic-toss', 'dig', 'body-slam', 'rest', 'ice-beam', 'mega-kick', 'submission', 'counter', 'double-edge', 'substitute']"
29,slowpoke,"[{'name': 'confusion', 'levelLearnedAt': 1}, {'name': 'disable', 'levelLearnedAt': 18}, {'name': 'headbutt', 'levelLearnedAt': 22}, {'name': 'growl', 'levelLearnedAt': 27}, {'name': 'water-gun', 'levelLearnedAt': 33}, {'name': 'amnesia', 'levelLearnedAt': 40}, {'name': 'psychic', 'levelLearnedAt': 48}]",walk,,['flash'],"['bubble-beam', 'water-gun', 'bide', 'thunder-wave', 'dig', 'body-slam', 'rest', 'teleport', 'ice-beam', 'tri-attack', 'reflect', 'double-edge', 'substitute']"
30,voltorb,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'screech', 'levelLearnedAt': 1}, {'name': 'sonic-boom', 'levelLearnedAt': 17}, {'name': 'self-destruct', 'levelLearnedAt': 22}, {'name': 'light-screen', 'levelLearnedAt': 29}, {'name': 'swift', 'levelLearnedAt': 36}, {'name': 'explosion', 'levelLearnedAt': 43}]",walk,,['flash'],"['bide', 'thunder', 'thunder-wave', 'thunderbolt', 'rest', 'teleport', 'reflect', 'substitute']"
31,machop,"[{'name': 'karate-chop', 'levelLearnedAt': 1}, {'name': 'low-kick', 'levelLearnedAt': 20}, {'name': 'leer', 'levelLearnedAt': 25}, {'name': 'focus-energy', 'levelLearnedAt': 32}, {'name': 'seismic-toss', 'levelLearnedAt': 39}, {'name': 'submission', 'levelLearnedAt': 46}]",walk,,[],"['mega-punch', 'bide', 'seismic-toss', 'dig', 'body-slam', 'rest', 'rock-slide', 'mega-kick', 'submission', 'counter', 'double-edge', 'substitute']"
32,onix,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'screech', 'levelLearnedAt': 1}, {'name': 'bind', 'levelLearnedAt': 15}, {'name': 'rock-throw', 'levelLearnedAt': 19}, {'name': 'rage', 'levelLearnedAt': 25}, {'name': 'slam', 'levelLearnedAt': 33}, {'name': 'harden', 'levelLearnedAt': 43}]",walk,,[],"['bide', 'dig', 'body-slam', 'rest', 'rock-slide', 'double-edge', 'substitute']"
33,vulpix,"[{'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'ember', 'levelLearnedAt': 1}, {'name': 'quick-attack', 'levelLearnedAt': 16}, {'name': 'roar', 'levelLearnedAt': 21}, {'name': 'confuse-ray', 'levelLearnedAt': 28}, {'name': 'flamethrower', 'levelLearnedAt': 35}, {'name': 'fire-spin', 'levelLearnedAt': 42}]",walk,,[],"['bide', 'dig', 'body-slam', 'rest', 'reflect', 'double-edge', 'substitute']"
34,bulbasaur,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'leech-seed', 'levelLearnedAt': 7}, {'name': 'vine-whip', 'levelLearnedAt': 13}, {'name': 'poison-powder', 'levelLearnedAt': 20}, {'name': 'razor-leaf', 'levelLearnedAt': 27}, {'name': 'growth', 'levelLearnedAt': 34}, {'name': 'sleep-powder', 'levelLearnedAt': 41}, {'name': 'solar-beam', 'levelLearnedAt': 48}]",starter,,"['cut', 'flash']","['bide', 'body-slam', 'rest', 'reflect', 'razor-wind', 'double-edge', 'substitute']"
35,charmander,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'ember', 'levelLearnedAt': 9}, {'name': 'leer', 'levelLearnedAt': 15}, {'name': 'rage', 'levelLearnedAt': 22}, {'name': 'slash', 'levelLearnedAt': 30}, {'name': 'flamethrower', 'levelLearnedAt': 38}, {'name': 'fire-spin', 'levelLearnedAt': 46}]",starter,,['cut'],"['mega-punch', 'bide', 'seismic-toss', 'dig', 'body-slam', 'rest', 'rock-slide', 'mega-kick', 'submission', 'reflect', 'counter', 'double-edge', 'substitute', 'dragon-rage']"
36,squirtle,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'bubble', 'levelLearnedAt': 8}, {'name': 'water-gun', 'levelLearnedAt': 15}, {'name': 'bite', 'levelLearnedAt': 22}, {'name': 'withdraw', 'levelLearnedAt': 28}, {'name': 'skull-bash', 'levelLearnedAt': 35}, {'name': 'hydro-pump', 'levelLearnedAt': 42}]",starter,,[],"['bubble-beam', 'water-gun', 'mega-punch', 'bide', 'seismic-toss', 'dig', 'body-slam', 'rest', 'ice-beam', 'mega-kick', 'submission', 'reflect', 'counter', 'double-edge', 'substitute']"
37,kabuto,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'harden', 'levelLearnedAt': 1}, {'name': 'absorb', 'levelLearnedAt': 34}, {'name': 'slash', 'levelLearnedAt': 39}, {'name': 'leer', 'levelLearnedAt': 44}, {'name': 'hydro-pump', 'levelLearnedAt': 49}]",special,,[],"['bubble-beam', 'water-gun', 'bide', 'dig', 'body-slam', 'rest', 'ice-beam', 'rock-slide', 'reflect', 'double-edge', 'substitute']"
38,omanyte,"[{'name': 'water-gun', 'levelLearnedAt': 1}, {'name': 'withdraw', 'levelLearnedAt': 1}, {'name': 'horn-attack', 'levelLearnedAt': 34}, {'name': 'leer', 'levelLearnedAt': 39}, {'name': 'spike-cannon', 'levelLearnedAt': 46}, {'name': 'hydro-pump', 'levelLearnedAt': 53}]",special,,[],"['bubble-beam', 'water-gun', 'bide', 'body-slam', 'rest', 'ice-beam', 'rock-slide', 'reflect', 'double-edge', 'substitute']"
39,jynx,"[{'name': 'pound', 'levelLearnedAt': 1}, {'name': 'lovely-kiss', 'levelLearnedAt': 1}, {'name': 'lick', 'levelLearnedAt': 18}, {'name': 'double-slap', 'levelLearnedAt': 23}, {'name': 'ice-punch', 'levelLearnedAt': 31}, {'name': 'body-slam', 'levelLearnedAt': 39}, {'name': 'thrash', 'levelLearnedAt': 47}, {'name': 'blizzard', 'levelLearnedAt': 58}]",special,,['flash'],"['bubble-beam', 'water-gun', 'mega-punch', 'bide', 'seismic-toss', 'body-slam', 'rest', 'teleport', 'ice-beam', 'mega-kick', 'submission', 'reflect', 'counter', 'double-edge', 'hyper-beam', 'substitute']"
40,farfetchd,"[{'name': 'sand-attack', 'levelLearnedAt': 1}, {'name': 'peck', 'levelLearnedAt': 1}, {'name': 'leer', 'levelLearnedAt': 7}, {'name': 'fury-attack', 'levelLearnedAt': 15}, {'name': 'swords-dance', 'levelLearnedAt': 23}, {'name': 'agility', 'levelLearnedAt': 31}, {'name': 'slash', 'levelLearnedAt': 39}]",special,,"['cut', 'fly']","['whirlwind', 'bide', 'body-slam', 'rest', 'reflect', 'razor-wind', 'double-edge', 'substitute']"
41,mr-mime,"[{'name': 'barrier', 'levelLearnedAt': 1}, {'name': 'confusion', 'levelLearnedAt': 15}, {'name': 'light-screen', 'levelLearnedAt': 23}, {'name': 'double-slap', 'levelLearnedAt': 31}, {'name': 'meditate', 'levelLearnedAt': 39}, {'name': 'substitute', 'levelLearnedAt': 47}]",special,,['flash'],"['mega-punch', 'bide', 'thunder', 'thunder-wave', 'seismic-toss', 'thunderbolt', 'body-slam', 'rest', 'teleport', 'mega-kick', 'submission', 'reflect', 'counter', 'double-edge', 'hyper-beam', 'substitute']"
42,eevee,"[{'name': 'sand-attack', 'levelLearnedAt': 1}, {'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'quick-attack', 'levelLearnedAt': 27}, {'name': 'tail-whip', 'levelLearnedAt': 31}, {'name': 'bite', 'levelLearnedAt': 37}, {'name': 'take-down', 'levelLearnedAt': 45}]",special,,[],"['bide', 'dig', 'body-slam', 'rest', 'reflect', 'double-edge', 'substitute']"
43,pidgeotto,"[{'name': 'gust', 'levelLearnedAt': 1}, {'name': 'sand-attack', 'levelLearnedAt': 5}, {'name': 'quick-attack', 'levelLearnedAt': 12}, {'name': 'whirlwind', 'levelLearnedAt': 21}, {'name': 'wing-attack', 'levelLearnedAt': 31}, {'name': 'agility', 'levelLearnedAt': 40}, {'name': 'mirror-move', 'levelLearnedAt': 49}]",18,walk,['fly'],"['whirlwind', 'bide', 'rest', 'reflect', 'razor-wind', 'double-edge', 'substitute']"
44,pidgeot,"[{'name': 'gust', 'levelLearnedAt': 1}, {'name': 'sand-attack', 'levelLearnedAt': 5}, {'name': 'quick-attack', 'levelLearnedAt': 12}, {'name': 'whirlwind', 'levelLearnedAt': 21}, {'name': 'wing-attack', 'levelLearnedAt': 31}, {'name': 'agility', 'levelLearnedAt': 44}, {'name': 'mirror-move', 'levelLearnedAt': 54}]",36,walk,['fly'],"['whirlwind', 'bide', 'rest', 'reflect', 'razor-wind', 'double-edge', 'hyper-beam', 'substitute']"
45,raticate,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'quick-attack', 'levelLearnedAt': 7}, {'name': 'hyper-fang', 'levelLearnedAt': 14}, {'name': 'focus-energy', 'levelLearnedAt': 27}, {'name': 'super-fang', 'levelLearnedAt': 41}]",20,walk,['cut'],"['bubble-beam', 'water-gun', 'bide', 'thunder', 'thunder-wave', 'dig', 'thunderbolt', 'body-slam', 'rest', 'ice-beam', 'counter', 'double-edge', 'hyper-beam', 'substitute']"
46,butterfree,"[{'name': 'confusion', 'levelLearnedAt': 12}, {'name': 'poison-powder', 'levelLearnedAt': 15}, {'name': 'stun-spore', 'levelLearnedAt': 16}, {'name': 'sleep-powder', 'levelLearnedAt': 17}, {'name': 'supersonic', 'levelLearnedAt': 21}, {'name': 'whirlwind', 'levelLearnedAt': 26}, {'name': 'psybeam', 'levelLearnedAt': 32}]",10,walk,['flash'],"['whirlwind', 'bide', 'rest', 'teleport', 'reflect', 'razor-wind', 'double-edge', 'hyper-beam', 'substitute']"
47,beedrill,"[{'name': 'fury-attack', 'levelLearnedAt': 12}, {'name': 'focus-energy', 'levelLearnedAt': 16}, {'name': 'twineedle', 'levelLearnedAt': 20}, {'name': 'rage', 'levelLearnedAt': 25}, {'name': 'pin-missile', 'levelLearnedAt': 30}, {'name': 'agility', 'levelLearnedAt': 35}]",10,walk,"['cut', 'flash']","['bide', 'rest', 'reflect', 'double-edge', 'hyper-beam', 'substitute']"
48,raichu,"[{'name': 'growl', 'levelLearnedAt': 1}, {'name': 'thunder-shock', 'levelLearnedAt': 1}, {'name': 'thunder-wave', 'levelLearnedAt': 1}]",thunder-stone,walk,['flash'],"['mega-punch', 'bide', 'thunder', 'thunder-wave', 'seismic-toss', 'dig', 'thunderbolt', 'body-slam', 'rest', 'mega-kick', 'submission', 'reflect', 'counter', 'double-edge', 'hyper-beam', 'substitute']"
49,fearow,"[{'name': 'growl', 'levelLearnedAt': 1}, {'name': 'peck', 'levelLearnedAt': 1}, {'name': 'leer', 'levelLearnedAt': 9}, {'name': 'fury-attack', 'levelLearnedAt': 15}, {'name': 'mirror-move', 'levelLearnedAt': 25}, {'name': 'drill-peck', 'levelLearnedAt': 34}, {'name': 'agility', 'levelLearnedAt': 43}]",20,walk,['fly'],"['whirlwind', 'bide', 'rest', 'razor-wind', 'double-edge', 'hyper-beam', 'substitute']"
50,nidorina,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'scratch', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'tail-whip', 'levelLearnedAt': 23}, {'name': 'bite', 'levelLearnedAt': 32}, {'name': 'fury-swipes', 'levelLearnedAt': 41}, {'name': 'double-kick', 'levelLearnedAt': 50}]",16,walk,['cut'],"['bubble-beam', 'water-gun', 'bide', 'thunder', 'dig', 'thunderbolt', 'body-slam', 'rest', 'ice-beam', 'reflect', 'horn-drill', 'counter', 'double-edge', 'substitute']"
51,nidoqueen,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'scratch', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'body-slam', 'levelLearnedAt': 23}]",moon-stone,walk,['cut'],"['bubble-beam', 'water-gun', 'mega-punch', 'bide', 'thunder', 'seismic-toss', 'dig', 'thunderbolt', 'body-slam', 'rest', 'ice-beam', 'rock-slide', 'mega-kick', 'submission', 'reflect', 'horn-drill', 'counter', 'double-edge', 'hyper-beam', 'substitute']"
52,nidorino,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'leer', 'levelLearnedAt': 1}, {'name': 'horn-attack', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'focus-energy', 'levelLearnedAt': 23}, {'name': 'fury-attack', 'levelLearnedAt': 32}, {'name': 'horn-drill', 'levelLearnedAt': 41}, {'name': 'double-kick', 'levelLearnedAt': 50}]",16,walk,['cut'],"['bubble-beam', 'water-gun', 'bide', 'thunder', 'dig', 'thunderbolt', 'body-slam', 'rest', 'ice-beam', 'reflect', 'horn-drill', 'counter', 'double-edge', 'substitute']"
53,nidoking,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'horn-attack', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'thrash', 'levelLearnedAt': 23}]",moon-stone,walk,['cut'],"['bubble-beam', 'water-gun', 'mega-punch', 'bide', 'thunder', 'seismic-toss', 'dig', 'thunderbolt', 'body-slam', 'rest', 'ice-beam', 'rock-slide', 'mega-kick', 'submission', 'reflect', 'horn-drill', 'counter', 'double-edge', 'hyper-beam', 'substitute']"
54,poliwrath,"[{'name': 'double-slap', 'levelLearnedAt': 1}, {'name': 'body-slam', 'levelLearnedAt': 1}, {'name': 'hypnosis', 'levelLearnedAt': 16}, {'name': 'water-gun', 'levelLearnedAt': 19}]",water-stone,fishing,[],"['bubble-beam', 'water-gun', 'mega-punch', 'bide', 'seismic-toss', 'dig', 'body-slam', 'rest', 'ice-beam', 'rock-slide', 'mega-kick', 'submission', 'counter', 'double-edge', 'hyper-beam', 'substitute']"
